x_index,y_index,x_min_m,x_max_m,x_center_m,y_min_m,y_max_m,y_center_m,assert_count,yield_count,total_count,p_assert,masked
54,0,1.4000000000000004,1.5,1.4500000000000002,-4.0,-3.9,-3.95,0,0,0,,1
55,0,1.5,1.6000000000000005,1.5500000000000003,-4.0,-3.9,-3.95,0,0,0,,1
56,0,1.6000000000000005,1.7000000000000002,1.6500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
57,0,1.7000000000000002,1.8000000000000007,1.7500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
58,0,1.8000000000000007,1.9000000000000004,1.8500000000000005,-4.0,-3.9,-3.95,0,0,0,,1
59,0,1.9000000000000004,2.0,1.9500000000000002,-4.0,-3.9,-3.95,0,0,0,,1
60,0,2.0,2.1000000000000005,2.0500000000000003,-4.0,-3.9,-3.95,0,0,0,,1
61,0,2.1000000000000005,2.2,2.1500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
62,0,2.2,2.3000000000000007,2.2500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
63,0,2.3000000000000007,2.4000000000000004,2.3500000000000005,-4.0,-3.9,-3.95,0,0,0,,1
64,0,2.4000000000000004,2.5,2.45,-4.0,-3.9,-3.95,0,0,0,,1
65,0,2.5,2.6000000000000005,2.5500000000000003,-4.0,-3.9,-3.95,0,0,0,,1
66,0,2.6000000000000005,2.7,2.6500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
67,0,2.7,2.8000000000000007,2.7500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
68,0,2.8000000000000007,2.9000000000000004,2.8500000000000005,-4.0,-3.9,-3.95,0,0,0,,1
69,0,2.9000000000000004,3.0,2.95,-4.0,-3.9,-3.95,0,0,0,,1
70,0,3.0,3.1000000000000005,3.0500000000000003,-4.0,-3.9,-3.95,0,0,0,,1
71,0,3.1000000000000005,3.2,3.1500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
72,0,3.2,3.3000000000000007,3.2500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
73,0,3.3000000000000007,3.4000000000000004,3.3500000000000005,-4.0,-3.9,-3.95,0,0,0,,1
74,0,3.4000000000000004,3.5,3.45,-4.0,-3.9,-3.95,0,0,0,,1
75,0,3.5,3.6000000000000005,3.5500000000000003,-4.0,-3.9,-3.95,0,0,0,,1
76,0,3.6000000000000005,3.7,3.6500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
77,0,3.7,3.8000000000000007,3.7500000000000004,-4.0,-3.9,-3.95,0,0,0,,1
78,0,3.8000000000000007,3.9000000000000004,3.8500000000000005,-4.0,-3.9,-3.95,0,0,0,,1
79,0,3.9000000000000004,4.0,3.95,-4.0,-3.9,-3.95,0,0,0,,1
0,1,-4.0,-3.9,-3.95,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
1,1,-3.9,-3.8,-3.8499999999999996,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
2,1,-3.8,-3.7,-3.75,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
3,1,-3.7,-3.6,-3.6500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
4,1,-3.6,-3.5,-3.55,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
5,1,-3.5,-3.4,-3.45,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
6,1,-3.4,-3.3,-3.3499999999999996,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
7,1,-3.3,-3.2,-3.25,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
8,1,-3.2,-3.1,-3.1500000000000004,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
9,1,-3.1,-3.0,-3.05,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
10,1,-3.0,-2.9,-2.95,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
11,1,-2.9,-2.8,-2.8499999999999996,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
12,1,-2.8,-2.7,-2.75,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
13,1,-2.7,-2.5999999999999996,-2.65,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
14,1,-2.5999999999999996,-2.5,-2.55,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
15,1,-2.5,-2.4,-2.45,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
16,1,-2.4,-2.3,-2.3499999999999996,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
17,1,-2.3,-2.2,-2.25,-3.9,-3.8,-3.8499999999999996,0,0,0,,1
